stadium_name,week_number,average_temperature
Caesars Superdome,52,16.41
Empower Field at Mile High,1,-1.44
Empower Field at Mile High,2,-8.39
Empower Field at Mile High,3,-10.2
Empower Field at Mile High,4,-1.66
Empower Field at Mile High,5,0.83
Empower Field at Mile High,6,-4.19
Empower Field at Mile High,7,-4.61
Empower Field at Mile High,8,1.87
Empower Field at Mile High,9,3.44
Empower Field at Mile High,10,1.39
Empower Field at Mile High,11,1.49
Empower Field at Mile High,12,3.7
Empower Field at Mile High,13,1.71
Empower Field at Mile High,14,7.86
Empower Field at Mile High,15,9.93
Empower Field at Mile High,16,7.27
Empower Field at Mile High,17,10.71
Empower Field at Mile High,18,11.23
Empower Field at Mile High,19,9.67
Empower Field at Mile High,20,15.46
Empower Field at Mile High,21,13.74
Empower Field at Mile High,22,18.6
Empower Field at Mile High,23,22.56
Empower Field at Mile High,24,22.91
Empower Field at Mile High,25,22.0
Empower Field at Mile High,26,25.27
Empower Field at Mile High,27,22.6
Empower Field at Mile High,28,24.73
Empower Field at Mile High,29,22.81
Empower Field at Mile High,30,24.43
Empower Field at Mile High,31,26.6
Empower Field at Mile High,32,22.69
Empower Field at Mile High,33,23.01
Empower Field at Mile High,34,23.74
Empower Field at Mile High,35,22.67
Empower Field at Mile High,36,20.57
Empower Field at Mile High,37,20.89
Empower Field at Mile High,38,17.7
Empower Field at Mile High,39,18.96
Empower Field at Mile High,40,17.06
Empower Field at Mile High,41,16.36
Empower Field at Mile High,42,13.99
Empower Field at Mile High,43,12.07
Empower Field at Mile High,44,7.4
Empower Field at Mile High,45,0.46
Empower Field at Mile High,46,0.99
Empower Field at Mile High,47,2.51
Empower Field at Mile High,48,-1.7
Empower Field at Mile High,49,1.54
Empower Field at Mile High,50,0.26
Empower Field at Mile High,51,2.43
Empower Field at Mile High,52,3.14
EverBank Stadium,1,13.46
EverBank Stadium,2,12.9
EverBank Stadium,3,8.87
EverBank Stadium,4,18.57
EverBank Stadium,5,12.0
EverBank Stadium,6,13.7
EverBank Stadium,7,14.5
EverBank Stadium,8,12.31
EverBank Stadium,9,17.37
EverBank Stadium,10,19.13
EverBank Stadium,11,18.36
EverBank Stadium,12,16.34
EverBank Stadium,13,18.99
EverBank Stadium,14,18.07
EverBank Stadium,15,20.24
EverBank Stadium,16,23.53
EverBank Stadium,17,20.61
EverBank Stadium,18,24.27
EverBank Stadium,19,25.69
EverBank Stadium,20,25.43
EverBank Stadium,21,25.16
EverBank Stadium,22,26.81
EverBank Stadium,23,28.07
EverBank Stadium,24,28.11
EverBank Stadium,25,27.63
EverBank Stadium,26,28.26
EverBank Stadium,27,28.29
EverBank Stadium,28,28.47
EverBank Stadium,29,27.93
EverBank Stadium,30,27.77
EverBank Stadium,31,27.83
EverBank Stadium,32,27.27
EverBank Stadium,33,27.44
EverBank Stadium,34,26.0
EverBank Stadium,35,26.93
EverBank Stadium,36,25.86
EverBank Stadium,37,25.11
EverBank Stadium,38,24.54
EverBank Stadium,39,26.43
EverBank Stadium,40,25.36
EverBank Stadium,41,22.09
EverBank Stadium,42,18.46
EverBank Stadium,43,21.46
EverBank Stadium,44,22.49
EverBank Stadium,45,24.19
EverBank Stadium,46,20.5
EverBank Stadium,47,16.0
EverBank Stadium,48,14.71
EverBank Stadium,49,9.64
EverBank Stadium,50,15.37
EverBank Stadium,51,15.09
EverBank Stadium,52,15.11
Ford Field,1,0.08
Ford Field,2,-1.27
Ford Field,3,-11.26
Ford Field,4,0.81
Ford Field,5,0.26
Ford Field,6,3.43
Ford Field,7,-1.53
Ford Field,8,1.61
Ford Field,9,5.19
Ford Field,10,7.33
Ford Field,11,8.16
Ford Field,12,-0.53
Ford Field,13,5.31
Ford Field,14,5.77
Ford Field,15,12.24
Ford Field,16,10.71
Ford Field,17,11.21
Ford Field,18,16.7
Ford Field,19,13.57
Ford Field,20,17.83
Ford Field,21,21.81
Ford Field,22,17.13
Ford Field,23,19.64
Ford Field,24,19.96
Ford Field,25,26.53
Ford Field,26,21.77
Ford Field,27,22.37
Ford Field,28,23.5
Ford Field,29,22.49
Ford Field,30,22.17
Ford Field,31,25.1
Ford Field,32,21.01
Ford Field,33,21.77
Ford Field,34,18.96
Ford Field,35,24.16
Ford Field,36,17.53
Ford Field,37,21.27
Ford Field,38,21.87
