stadium_name,week_number,condition
Caesars Superdome,32,sunny
Caesars Superdome,33,drizzle
Caesars Superdome,34,drizzle
Caesars Superdome,35,rainy
Caesars Superdome,36,rainy
Caesars Superdome,37,drizzle
Caesars Superdome,38,drizzle
Caesars Superdome,39,sunny
Caesars Superdome,40,cloudy
Caesars Superdome,41,sunny
Caesars Superdome,42,sunny
Caesars Superdome,43,sunny
Caesars Superdome,44,drizzle
Caesars Superdome,45,drizzle
Caesars Superdome,46,rainy
Caesars Superdome,47,sunny
Caesars Superdome,48,cloudy
Caesars Superdome,49,cloudy
Caesars Superdome,50,rainy
Caesars Superdome,51,sunny
Caesars Superdome,52,cloudy
Empower Field at Mile High,1,cloudy
Empower Field at Mile High,2,snowy
Empower Field at Mile High,3,cloudy
Empower Field at Mile High,4,cloudy
Empower Field at Mile High,5,cloudy
Empower Field at Mile High,6,cloudy
Empower Field at Mile High,7,cloudy
Empower Field at Mile High,8,cloudy
Empower Field at Mile High,9,cloudy
Empower Field at Mile High,10,cloudy
Empower Field at Mile High,11,cloudy
Empower Field at Mile High,12,cloudy
Empower Field at Mile High,13,cloudy
Empower Field at Mile High,14,cloudy
Empower Field at Mile High,15,cloudy
Empower Field at Mile High,16,snowy
Empower Field at Mile High,17,drizzle
Empower Field at Mile High,18,cloudy
Empower Field at Mile High,19,drizzle
Empower Field at Mile High,20,partly_cloudy
Empower Field at Mile High,21,cloudy
Empower Field at Mile High,22,cloudy
Empower Field at Mile High,23,cloudy
Empower Field at Mile High,24,drizzle
Empower Field at Mile High,25,cloudy
Empower Field at Mile High,26,cloudy
Empower Field at Mile High,27,cloudy
Empower Field at Mile High,28,cloudy
Empower Field at Mile High,29,drizzle
Empower Field at Mile High,30,cloudy
Empower Field at Mile High,31,cloudy
Empower Field at Mile High,32,drizzle
Empower Field at Mile High,33,rainy
Empower Field at Mile High,34,drizzle
Empower Field at Mile High,35,cloudy
Empower Field at Mile High,36,cloudy
Empower Field at Mile High,37,cloudy
Empower Field at Mile High,38,cloudy
Empower Field at Mile High,39,sunny
Empower Field at Mile High,40,partly_cloudy
Empower Field at Mile High,41,cloudy
Empower Field at Mile High,42,cloudy
Empower Field at Mile High,43,cloudy
Empower Field at Mile High,44,cloudy
Empower Field at Mile High,45,snowy
Empower Field at Mile High,46,cloudy
Empower Field at Mile High,47,cloudy
Empower Field at Mile High,48,cloudy
Empower Field at Mile High,49,sunny
Empower Field at Mile High,50,cloudy
Empower Field at Mile High,51,cloudy
Empower Field at Mile High,52,cloudy
EverBank Stadium,1,cloudy
EverBank Stadium,2,cloudy
EverBank Stadium,3,cloudy
EverBank Stadium,4,drizzle
EverBank Stadium,5,cloudy
EverBank Stadium,6,cloudy
EverBank Stadium,7,cloudy
EverBank Stadium,8,sunny
EverBank Stadium,9,cloudy
EverBank Stadium,10,rainy
EverBank Stadium,11,cloudy
EverBank Stadium,12,cloudy
EverBank Stadium,13,cloudy
EverBank Stadium,14,cloudy
EverBank Stadium,15,cloudy
EverBank Stadium,16,cloudy
EverBank Stadium,17,cloudy
EverBank Stadium,18,drizzle
EverBank Stadium,19,drizzle
EverBank Stadium,20,drizzle
EverBank Stadium,21,drizzle
EverBank Stadium,22,cloudy
EverBank Stadium,23,cloudy
EverBank Stadium,24,drizzle
EverBank Stadium,25,drizzle
EverBank Stadium,26,rainy
EverBank Stadium,27,drizzle
EverBank Stadium,28,rainy
EverBank Stadium,29,rainy
EverBank Stadium,30,rainy
EverBank Stadium,31,rainy
EverBank Stadium,32,rainy
EverBank Stadium,33,drizzle
EverBank Stadium,34,rainy
EverBank Stadium,35,drizzle
EverBank Stadium,36,rainy
EverBank Stadium,37,rainy
EverBank Stadium,38,drizzle
EverBank Stadium,39,drizzle
EverBank Stadium,40,rainy
EverBank Stadium,41,rainy
EverBank Stadium,42,cloudy
EverBank Stadium,43,drizzle
EverBank Stadium,44,drizzle
EverBank Stadium,45,drizzle
EverBank Stadium,46,drizzle
EverBank Stadium,47,sunny
EverBank Stadium,48,cloudy
EverBank Stadium,49,sunny
EverBank Stadium,50,drizzle
EverBank Stadium,51,cloudy
EverBank Stadium,52,drizzle
Ford Field,1,snowy
Ford Field,2,snowy
Ford Field,3,cloudy
Ford Field,4,snowy
Ford Field,5,cloudy
Ford Field,6,cloudy
Ford Field,7,cloudy
Ford Field,8,cloudy
Ford Field,9,cloudy
Ford Field,10,cloudy
Ford Field,11,cloudy
Ford Field,12,cloudy
Ford Field,13,cloudy
Ford Field,14,cloudy
Ford Field,15,drizzle
Ford Field,16,cloudy
Ford Field,17,rainy
Ford Field,18,rainy
Ford Field,19,cloudy
Ford Field,20,drizzle
Ford Field,21,drizzle
Ford Field,22,rainy
Ford Field,23,drizzle
Ford Field,24,cloudy
Ford Field,25,drizzle
Ford Field,26,cloudy
Ford Field,27,cloudy
Ford Field,28,cloudy
Ford Field,29,drizzle
Ford Field,30,drizzle
Ford Field,31,drizzle
Ford Field,32,cloudy
Ford Field,33,rainy
Ford Field,34,cloudy
Ford Field,35,drizzle
Ford Field,36,cloudy
Ford Field,37,sunny
Ford Field,38,sunny
Ford Field,39,drizzle
Ford Field,40,cloudy
Ford Field,41,cloudy
Ford Field,42,sunny
Ford Field,43,cloudy
Ford Field,44,cloudy
Ford Field,45,cloudy
Ford Field,46,cloudy
Ford Field,47,drizzle
Ford Field,48,snowy
Ford Field,49,cloudy
Ford Field,50,cloudy
Ford Field,51,cloudy
Ford Field,52,cloudy
Gillette Stadium,1,snowy
Gillette Stadium,2,cloudy
Gillette Stadium,3,snowy
Gillette Stadium,4,snowy
Gillette Stadium,5,cloudy
Gillette Stadium,6,cloudy
Gillette Stadium,7,cloudy
Gillette Stadium,8,sunny
Gillette Stadium,9,rainy
Gillette Stadium,10,rainy
Gillette Stadium,11,cloudy
Gillette Stadium,12,cloudy
Gillette Stadium,13,cloudy
Gillette Stadium,14,cloudy
Gillette Stadium,15,cloudy
Gillette Stadium,16,cloudy
Gillette Stadium,17,cloudy
Gillette Stadium,18,rainy
Gillette Stadium,19,drizzle
Gillette Stadium,20,cloudy
Gillette Stadium,21,cloudy
Gillette Stadium,22,rainy
Gillette Stadium,23,cloudy
Gillette Stadium,24,cloudy
Gillette Stadium,25,drizzle
Gillette Stadium,26,drizzle
Gillette Stadium,27,drizzle
Gillette Stadium,28,drizzle
Gillette Stadium,29,cloudy
Gillette Stadium,30,rainy
Gillette Stadium,31,rainy
Gillette Stadium,32,rainy
Gillette Stadium,33,drizzle
Gillette Stadium,34,cloudy
Gillette Stadium,35,drizzle
Gillette Stadium,36,sunny
Gillette Stadium,37,partly_cloudy
Gillette Stadium,38,cloudy
Gillette Stadium,39,drizzle
Gillette Stadium,40,cloudy
Gillette Stadium,41,cloudy
Gillette Stadium,42,cloudy
Gillette Stadium,43,cloudy
Gillette Stadium,44,drizzle
Gillette Stadium,45,cloudy
Gillette Stadium,46,sunny
Gillette Stadium,47,cloudy
Gillette Stadium,48,cloudy
Gillette Stadium,49,snowy
Gillette Stadium,50,rainy
Gillette Stadium,51,rainy
Gillette Stadium,52,cloudy
Hard Rock Stadium,1,drizzle
Hard Rock Stadium,2,drizzle
Hard Rock Stadium,3,drizzle
Hard Rock Stadium,4,drizzle
Hard Rock Stadium,5,cloudy
Hard Rock Stadium,6,drizzle
Hard Rock Stadium,7,cloudy
Hard Rock Stadium,8,sunny
Hard Rock Stadium,9,drizzle
Hard Rock Stadium,10,drizzle
Hard Rock Stadium,11,cloudy
Hard Rock Stadium,12,drizzle
Hard Rock Stadium,13,drizzle
Hard Rock Stadium,14,cloudy
Hard Rock Stadium,15,cloudy
Hard Rock Stadium,16,cloudy
Hard Rock Stadium,17,drizzle
Hard Rock Stadium,18,drizzle
Hard Rock Stadium,19,drizzle
Hard Rock Stadium,20,rainy
Hard Rock Stadium,21,drizzle
Hard Rock Stadium,22,drizzle
Hard Rock Stadium,23,rainy
Hard Rock Stadium,24,rainy
Hard Rock Stadium,25,rainy
Hard Rock Stadium,26,rainy
Hard Rock Stadium,27,rainy
Hard Rock Stadium,28,rainy
Hard Rock Stadium,29,rainy
Hard Rock Stadium,30,rainy
Hard Rock Stadium,31,rainy
Hard Rock Stadium,32,rainy
Hard Rock Stadium,33,rainy
Hard Rock Stadium,34,rainy
Hard Rock Stadium,35,rainy
Hard Rock Stadium,36,drizzle
Hard Rock Stadium,37,rainy
Hard Rock Stadium,38,rainy
Hard Rock Stadium,39,rainy
Hard Rock Stadium,40,drizzle
Hard Rock Stadium,41,rainy
Hard Rock Stadium,42,drizzle
Hard Rock Stadium,43,drizzle
Hard Rock Stadium,44,drizzle
Hard Rock Stadium,45,drizzle
Hard Rock Stadium,46,cloudy
Hard Rock Stadium,47,sunny
Hard Rock Stadium,48,cloudy
Hard Rock Stadium,49,cloudy
Hard Rock Stadium,50,cloudy
Hard Rock Stadium,51,drizzle
Hard Rock Stadium,52,drizzle
Highmark Stadium,1,snowy
Highmark Stadium,2,snowy
Highmark Stadium,3,snowy
Highmark Stadium,4,snowy
Highmark Stadium,5,cloudy
Highmark Stadium,6,cloudy
Highmark Stadium,7,snowy
Highmark Stadium,8,cloudy
Highmark Stadium,9,cloudy
Highmark Stadium,10,drizzle
Highmark Stadium,11,rainy
Highmark Stadium,12,snowy
Highmark Stadium,13,cloudy
Highmark Stadium,14,snowy
Highmark Stadium,15,rainy
Highmark Stadium,16,cloudy
Highmark Stadium,17,rainy
Highmark Stadium,18,rainy
Highmark Stadium,19,drizzle
Highmark Stadium,20,drizzle
Highmark Stadium,21,cloudy
Highmark Stadium,22,rainy
Highmark Stadium,23,drizzle
Highmark Stadium,24,drizzle
Highmark Stadium,25,drizzle
Highmark Stadium,26,rainy
Highmark Stadium,27,drizzle
Highmark Stadium,28,cloudy
Highmark Stadium,29,rainy
Highmark Stadium,30,rainy
Highmark Stadium,31,rainy
Highmark Stadium,32,rainy
Highmark Stadium,33,drizzle
Highmark Stadium,34,drizzle
Highmark Stadium,35,drizzle
Highmark Stadium,36,sunny
Highmark Stadium,37,cloudy
Highmark Stadium,38,cloudy
Highmark Stadium,39,rainy
Highmark Stadium,40,drizzle
Highmark Stadium,41,drizzle
Highmark Stadium,42,drizzle
Highmark Stadium,43,drizzle
Highmark Stadium,44,cloudy
Highmark Stadium,45,rainy
Highmark Stadium,46,drizzle
Highmark Stadium,47,drizzle
Highmark Stadium,48,snowy
